size,parts,qty_label,books,forms,price
"8.5"" x 11""",2 Parts,EACH,1,50,41.49
"8.5"" x 11""",2 Parts,5 books,5,250,138.30
"8.5"" x 11""",2 Parts,10 books,10,500,178.30
"8.5"" x 11""",2 Parts,20 books,20,1000,281.10
"8.5"" x 11""",2 Parts,30 books,30,1500,362.20
"8.5"" x 11""",2 Parts,40 books,40,2000,463.30
"8.5"" x 11""",2 Parts,50 books,50,2500,531.40
"8.5"" x 11""",3 Parts,EACH,1,50,50.31
"8.5"" x 11""",3 Parts,5 books,5,250,167.70
"8.5"" x 11""",3 Parts,10 books,10,500,237.30
"8.5"" x 11""",3 Parts,20 books,20,1000,398.20
"8.5"" x 11""",3 Parts,30 books,30,1500,518.60
"8.5"" x 11""",3 Parts,40 books,40,2000,667.90
"8.5"" x 11""",3 Parts,50 books,50,2500,772.70
"8.5"" x 11""",4 Parts,EACH,1,50,57.39
"8.5"" x 11""",4 Parts,5 books,5,250,191.30
"8.5"" x 11""",4 Parts,10 books,10,500,283.70
"8.5"" x 11""",4 Parts,20 books,20,1000,461.30
"8.5"" x 11""",4 Parts,30 books,30,1500,623.00
"8.5"" x 11""",4 Parts,40 books,40,2000,796.20
"8.5"" x 11""",4 Parts,50 books,50,2500,964.70
"5.5"" x 8.5""",2 Parts,EACH,1,50,36.27
"5.5"" x 8.5""",2 Parts,5 books,5,250,120.90
"5.5"" x 8.5""",2 Parts,10 books,10,500,144.60
"5.5"" x 8.5""",2 Parts,20 books,20,1000,215.40
"5.5"" x 8.5""",2 Parts,30 books,30,1500,277.90
"5.5"" x 8.5""",2 Parts,40 books,40,2000,355.40
"5.5"" x 8.5""",2 Parts,50 books,50,2500,406.10
"5.5"" x 8.5""",3 Parts,EACH,1,50,41.01
"5.5"" x 8.5""",3 Parts,5 books,5,250,136.70
"5.5"" x 8.5""",3 Parts,10 books,10,500,176.00
"5.5"" x 8.5""",3 Parts,20 books,20,1000,278.40
"5.5"" x 8.5""",3 Parts,30 books,30,1500,359.30
"5.5"" x 8.5""",3 Parts,40 books,40,2000,459.30
"5.5"" x 8.5""",3 Parts,50 books,50,2500,525.30
"5.5"" x 8.5""",4 Parts,EACH,1,50,44.61
"5.5"" x 8.5""",4 Parts,5 books,5,250,148.70
"5.5"" x 8.5""",4 Parts,10 books,10,500,199.70
"5.5"" x 8.5""",4 Parts,20 books,20,1000,326.20
"5.5"" x 8.5""",4 Parts,30 books,30,1500,429.10
"5.5"" x 8.5""",4 Parts,40 books,40,2000,538.70
"5.5"" x 8.5""",4 Parts,50 books,50,2500,632.60
"8.5"" x 14""",2 Parts,EACH,1,50,54.66
"8.5"" x 14""",2 Parts,5 books,5,250,182.20
"8.5"" x 14""",2 Parts,10 books,10,500,236.80
"8.5"" x 14""",2 Parts,20 books,20,1000,372.30
"8.5"" x 14""",2 Parts,30 books,30,1500,479.30
"8.5"" x 14""",2 Parts,40 books,40,2000,613.50
"8.5"" x 14""",2 Parts,50 books,50,2500,706.30
"8.5"" x 14""",3 Parts,EACH,1,50,64.44
"8.5"" x 14""",3 Parts,5 books,5,250,214.80
"8.5"" x 14""",3 Parts,10 books,10,500,296.90
"8.5"" x 14""",3 Parts,20 books,20,1000,492.60
"8.5"" x 14""",3 Parts,30 books,30,1500,622.20
"8.5"" x 14""",3 Parts,40 books,40,2000,787.20
"8.5"" x 14""",3 Parts,50 books,50,2500,903.70
"8.5"" x 14""",4 Parts,EACH,1,50,70.20
"8.5"" x 14""",4 Parts,5 books,5,250,234.00
"8.5"" x 14""",4 Parts,10 books,10,500,325.70
"8.5"" x 14""",4 Parts,20 books,20,1000,532.20
"8.5"" x 14""",4 Parts,30 books,30,1500,732.50
"8.5"" x 14""",4 Parts,40 books,40,2000,918.00
"8.5"" x 14""",4 Parts,50 books,50,2500,1089.40
