size,parts,qty_label,books,forms,price
"8.5"" x 11""",2 Parts,EACH,1,50,51.86
"8.5"" x 11""",2 Parts,5 books,5,250,172.88
"8.5"" x 11""",2 Parts,10 books,10,500,222.88
"8.5"" x 11""",2 Parts,20 books,20,1000,351.38
"8.5"" x 11""",2 Parts,30 books,30,1500,452.75
"8.5"" x 11""",2 Parts,40 books,40,2000,579.13
"8.5"" x 11""",2 Parts,50 books,50,2500,664.25
"8.5"" x 11""",3 Parts,EACH,1,50,62.89
"8.5"" x 11""",3 Parts,5 books,5,250,209.63
"8.5"" x 11""",3 Parts,10 books,10,500,296.63
"8.5"" x 11""",3 Parts,20 books,20,1000,497.75
"8.5"" x 11""",3 Parts,30 books,30,1500,648.25
"8.5"" x 11""",3 Parts,40 books,40,2000,834.88
"8.5"" x 11""",3 Parts,50 books,50,2500,965.88
"8.5"" x 11""",4 Parts,EACH,1,50,71.74
"8.5"" x 11""",4 Parts,5 books,5,250,239.13
"8.5"" x 11""",4 Parts,10 books,10,500,354.63
"8.5"" x 11""",4 Parts,20 books,20,1000,576.63
"8.5"" x 11""",4 Parts,30 books,30,1500,778.75
"8.5"" x 11""",4 Parts,40 books,40,2000,995.25
"8.5"" x 11""",4 Parts,50 books,50,2500,1205.88
"5.5"" x 8.5""",2 Parts,EACH,1,50,45.34
"5.5"" x 8.5""",2 Parts,5 books,5,250,151.13
"5.5"" x 8.5""",2 Parts,10 books,10,500,180.75
"5.5"" x 8.5""",2 Parts,20 books,20,1000,269.25
"5.5"" x 8.5""",2 Parts,30 books,30,1500,347.38
"5.5"" x 8.5""",2 Parts,40 books,40,2000,444.25
"5.5"" x 8.5""",2 Parts,50 books,50,2500,507.63
"5.5"" x 8.5""",3 Parts,EACH,1,50,51.26
"5.5"" x 8.5""",3 Parts,5 books,5,250,170.88
"5.5"" x 8.5""",3 Parts,10 books,10,500,220.00
"5.5"" x 8.5""",3 Parts,20 books,20,1000,348.00
"5.5"" x 8.5""",3 Parts,30 books,30,1500,449.13
"5.5"" x 8.5""",3 Parts,40 books,40,2000,574.13
"5.5"" x 8.5""",3 Parts,50 books,50,2500,656.63
"5.5"" x 8.5""",4 Parts,EACH,1,50,55.76
"5.5"" x 8.5""",4 Parts,5 books,5,250,185.88
"5.5"" x 8.5""",4 Parts,10 books,10,500,249.63
"5.5"" x 8.5""",4 Parts,20 books,20,1000,407.75
"5.5"" x 8.5""",4 Parts,30 books,30,1500,536.38
"5.5"" x 8.5""",4 Parts,40 books,40,2000,673.38
"5.5"" x 8.5""",4 Parts,50 books,50,2500,790.75
"8.5"" x 14""",2 Parts,EACH,1,50,68.33
"8.5"" x 14""",2 Parts,5 books,5,250,227.75
"8.5"" x 14""",2 Parts,10 books,10,500,296.00
"8.5"" x 14""",2 Parts,20 books,20,1000,465.38
"8.5"" x 14""",2 Parts,30 books,30,1500,599.13
"8.5"" x 14""",2 Parts,40 books,40,2000,766.88
"8.5"" x 14""",2 Parts,50 books,50,2500,882.88
"8.5"" x 14""",3 Parts,EACH,1,50,80.55
"8.5"" x 14""",3 Parts,5 books,5,250,268.50
"8.5"" x 14""",3 Parts,10 books,10,500,371.13
"8.5"" x 14""",3 Parts,20 books,20,1000,615.75
"8.5"" x 14""",3 Parts,30 books,30,1500,777.75
"8.5"" x 14""",3 Parts,40 books,40,2000,984.00
"8.5"" x 14""",3 Parts,50 books,50,2500,1129.63
"8.5"" x 14""",4 Parts,EACH,1,50,87.75
"8.5"" x 14""",4 Parts,5 books,5,250,292.50
"8.5"" x 14""",4 Parts,10 books,10,500,407.13
"8.5"" x 14""",4 Parts,20 books,20,1000,665.25
"8.5"" x 14""",4 Parts,30 books,30,1500,915.63
"8.5"" x 14""",4 Parts,40 books,40,2000,1147.50
"8.5"" x 14""",4 Parts,50 books,50,2500,1361.75
