size,parts,qty_label,books,forms,price
"8.5"" x 11""",2 Parts,EACH,1,50,51.10
"8.5"" x 11""",2 Parts,5 books,5,250,174.50
"8.5"" x 11""",2 Parts,10 books,10,500,245.90
"8.5"" x 11""",2 Parts,20 books,20,1000,409.70
"8.5"" x 11""",2 Parts,30 books,30,1500,555.70
"8.5"" x 11""",2 Parts,40 books,40,2000,729.10
"8.5"" x 11""",2 Parts,50 books,50,2500,866.70
"8.5"" x 11""",3 Parts,EACH,1,50,59.02
"8.5"" x 11""",3 Parts,5 books,5,250,200.90
"8.5"" x 11""",3 Parts,10 books,10,500,300.80
"8.5"" x 11""",3 Parts,20 books,20,1000,520.70
"8.5"" x 11""",3 Parts,30 books,30,1500,714.30
"8.5"" x 11""",3 Parts,40 books,40,2000,941.00
"8.5"" x 11""",3 Parts,50 books,50,2500,1125.20
"8.5"" x 11""",4 Parts,EACH,1,50,64.39
"8.5"" x 11""",4 Parts,5 books,5,250,218.80
"8.5"" x 11""",4 Parts,10 books,10,500,341.10
"8.5"" x 11""",4 Parts,20 books,20,1000,579.60
"8.5"" x 11""",4 Parts,30 books,30,1500,818.00
"8.5"" x 11""",4 Parts,40 books,40,2000,1051.80
"8.5"" x 11""",4 Parts,50 books,50,2500,1291.10
"5.5"" x 8.5""",2 Parts,EACH,1,50,44.05
"5.5"" x 8.5""",2 Parts,5 books,5,250,151.00
"5.5"" x 8.5""",2 Parts,10 books,10,500,204.40
"5.5"" x 8.5""",2 Parts,20 books,20,1000,336.90
"5.5"" x 8.5""",2 Parts,30 books,30,1500,458.80
"5.5"" x 8.5""",2 Parts,40 books,40,2000,600.90
"5.5"" x 8.5""",2 Parts,50 books,50,2500,716.10
"5.5"" x 8.5""",3 Parts,EACH,1,50,48.73
"5.5"" x 8.5""",3 Parts,5 books,5,250,166.60
"5.5"" x 8.5""",3 Parts,10 books,10,500,241.40
"5.5"" x 8.5""",3 Parts,20 books,20,1000,400.20
"5.5"" x 8.5""",3 Parts,30 books,30,1500,546.20
"5.5"" x 8.5""",3 Parts,40 books,40,2000,718.60
"5.5"" x 8.5""",3 Parts,50 books,50,2500,856.70
"5.5"" x 8.5""",4 Parts,EACH,1,50,52.63
"5.5"" x 8.5""",4 Parts,5 books,5,250,179.60
"5.5"" x 8.5""",4 Parts,10 books,10,500,269.10
"5.5"" x 8.5""",4 Parts,20 books,20,1000,449.50
"5.5"" x 8.5""",4 Parts,30 books,30,1500,621.80
"5.5"" x 8.5""",4 Parts,40 books,40,2000,796.40
"5.5"" x 8.5""",4 Parts,50 books,50,2500,970.00
"8.5"" x 14""",2 Parts,EACH,1,50,61.79
"8.5"" x 14""",2 Parts,5 books,5,250,210.14
"8.5"" x 14""",2 Parts,10 books,10,500,294.50
"8.5"" x 14""",2 Parts,20 books,20,1000,488.83
"8.5"" x 14""",2 Parts,30 books,30,1500,661.45
"8.5"" x 14""",2 Parts,40 books,40,2000,867.50
"8.5"" x 14""",2 Parts,50 books,50,2500,1029.87
"8.5"" x 14""",3 Parts,EACH,1,50,71.45
"8.5"" x 14""",3 Parts,5 books,5,250,242.35
"8.5"" x 14""",3 Parts,10 books,10,500,361.48
"8.5"" x 14""",3 Parts,20 books,20,1000,624.25
"8.5"" x 14""",3 Parts,30 books,30,1500,854.95
"8.5"" x 14""",3 Parts,40 books,40,2000,1126.02
"8.5"" x 14""",3 Parts,50 books,50,2500,1345.24
"8.5"" x 14""",4 Parts,EACH,1,50,78.01
"8.5"" x 14""",4 Parts,5 books,5,250,264.19
"8.5"" x 14""",4 Parts,10 books,10,500,410.64
"8.5"" x 14""",4 Parts,20 books,20,1000,696.11
"8.5"" x 14""",4 Parts,30 books,30,1500,981.46
"8.5"" x 14""",4 Parts,40 books,40,2000,1261.20
"8.5"" x 14""",4 Parts,50 books,50,2500,1547.64
