size,parts,qty_label,books,forms,price
"8.5"" x 11""",2 Parts,EACH,1,50,63.25
"8.5"" x 11""",2 Parts,5 books,5,250,215.00
"8.5"" x 11""",2 Parts,10 books,10,500,301.13
"8.5"" x 11""",2 Parts,20 books,20,1000,499.63
"8.5"" x 11""",2 Parts,30 books,30,1500,675.88
"8.5"" x 11""",2 Parts,40 books,40,2000,886.38
"8.5"" x 11""",2 Parts,50 books,50,2500,1052.13
"8.5"" x 11""",3 Parts,EACH,1,50,73.15
"8.5"" x 11""",3 Parts,5 books,5,250,248.00
"8.5"" x 11""",3 Parts,10 books,10,500,369.75
"8.5"" x 11""",3 Parts,20 books,20,1000,638.38
"8.5"" x 11""",3 Parts,30 books,30,1500,874.13
"8.5"" x 11""",3 Parts,40 books,40,2000,1151.25
"8.5"" x 11""",3 Parts,50 books,50,2500,1375.25
"8.5"" x 11""",4 Parts,EACH,1,50,79.86
"8.5"" x 11""",4 Parts,5 books,5,250,270.38
"8.5"" x 11""",4 Parts,10 books,10,500,420.13
"8.5"" x 11""",4 Parts,20 books,20,1000,712.00
"8.5"" x 11""",4 Parts,30 books,30,1500,1003.75
"8.5"" x 11""",4 Parts,40 books,40,2000,1289.75
"8.5"" x 11""",4 Parts,50 books,50,2500,1582.63
"5.5"" x 8.5""",2 Parts,EACH,1,50,54.44
"5.5"" x 8.5""",2 Parts,5 books,5,250,185.63
"5.5"" x 8.5""",2 Parts,10 books,10,500,249.25
"5.5"" x 8.5""",2 Parts,20 books,20,1000,408.63
"5.5"" x 8.5""",2 Parts,30 books,30,1500,554.75
"5.5"" x 8.5""",2 Parts,40 books,40,2000,726.13
"5.5"" x 8.5""",2 Parts,50 books,50,2500,863.88
"5.5"" x 8.5""",3 Parts,EACH,1,50,60.29
"5.5"" x 8.5""",3 Parts,5 books,5,250,205.13
"5.5"" x 8.5""",3 Parts,10 books,10,500,295.50
"5.5"" x 8.5""",3 Parts,20 books,20,1000,487.75
"5.5"" x 8.5""",3 Parts,30 books,30,1500,664.00
"5.5"" x 8.5""",3 Parts,40 books,40,2000,873.25
"5.5"" x 8.5""",3 Parts,50 books,50,2500,1039.63
"5.5"" x 8.5""",4 Parts,EACH,1,50,65.16
"5.5"" x 8.5""",4 Parts,5 books,5,250,221.38
"5.5"" x 8.5""",4 Parts,10 books,10,500,327.63
"5.5"" x 8.5""",4 Parts,20 books,20,1000,549.38
"5.5"" x 8.5""",4 Parts,30 books,30,1500,758.50
"5.5"" x 8.5""",4 Parts,40 books,40,2000,970.50
"5.5"" x 8.5""",4 Parts,50 books,50,2500,1181.25
"8.5"" x 14""",2 Parts,EACH,1,50,76.62
"8.5"" x 14""",2 Parts,5 books,5,250,259.55
"8.5"" x 14""",2 Parts,10 books,10,500,361.87
"8.5"" x 14""",2 Parts,20 books,20,1000,598.54
"8.5"" x 14""",2 Parts,30 books,30,1500,808.07
"8.5"" x 14""",2 Parts,40 books,40,2000,1059.38
"8.5"" x 14""",2 Parts,50 books,50,2500,1256.09
"8.5"" x 14""",3 Parts,EACH,1,50,88.69
"8.5"" x 14""",3 Parts,5 books,5,250,299.81
"8.5"" x 14""",3 Parts,10 books,10,500,445.60
"8.5"" x 14""",3 Parts,20 books,20,1000,767.82
"8.5"" x 14""",3 Parts,30 books,30,1500,1049.93
"8.5"" x 14""",3 Parts,40 books,40,2000,1382.53
"8.5"" x 14""",3 Parts,50 books,50,2500,1650.31
"8.5"" x 14""",4 Parts,EACH,1,50,96.88
"8.5"" x 14""",4 Parts,5 books,5,250,327.11
"8.5"" x 14""",4 Parts,10 books,10,500,507.03
"8.5"" x 14""",4 Parts,20 books,20,1000,857.64
"8.5"" x 14""",4 Parts,30 books,30,1500,1208.08
"8.5"" x 14""",4 Parts,40 books,40,2000,1551.50
"8.5"" x 14""",4 Parts,50 books,50,2500,1903.30
